text, domain, over_all_sentiment
โรงแรมทำความสะอาดไม่ดี ผ้าปูเตียงยังมีคราบเลือดเปื้อน กับเม็ดแตงโมของลูกค้าคนก่อน ส่วนอาหารเช้า แย่มาก ถามพนักงานว่าให้ข้าวสวยกินกับอะไรเพราะเนื่องจากอาหารไม่มีแล้ว พนักงานบอกว่าให้กินกับไข่ดาว ไข่เจียว ...ไม่ประทับใจกับการบริการคะ, Hotel, neg
ห้องแคบ ไม่มีตู้เสื้อผ้า อาบน้ำแล้วน้ำล้นไปด้านนอก ฝักบัวปรับไม่ได้, Hotel, neg
ที่พักโอเครสมราคาแต่แอร์ดังมากในห้องนอน โรงแรมไม่มีระเบียง, Hotel, neg
เสียงดังมากตั้งแต่ 10 โมง ไม่รู้ทำอะไรกัน มันดังมากๆจริงๆค่ะ โทรไปแจ้ง 3 รอบ ก็ไม่เงียบไม่เบา จนต้องรีบเช็คเอาท์ ห้องอาบน้ำประตูไม่เก็บน้ำ พื้นตรงหัวเตียงเปียกหมดเลย, Hotel, neg
ห้องน้ำไม่ค่อยดีห้องเล็กแต่ทำเลดี, Hotel, neg
เจอแมงสาบ 2 ตัว นอกนั้นโอเคคร่า, Hotel, neg
ห้องแคบ ห้องน้ำห้องอาบน้ำแยกแคบมากกอึดอัด ห้องเหม็นบุหรี่, Hotel, neg
พนักงานตอนรับบริการแย่มาก ไม่ค่อยสนใจ ปล่อยให้เรายืนรอ ไม่ได้สนใจไม่แม้แต่จะมอง คุยเล่นกันเองสองคน, Hotel, neg
ไม่ดีเลย ห้องไม่เก็บเสียงแม้แต่น้อย นอนไม่หลับ ได้ยินเสียงคนคุยกันได้ยินเสียงเปิดปิดประตูทั้งคืน ยังไม่พอ เวลาข้างห้องเปิดปิดประตู, Hotel, neg
ห้องเล็กมาก. ไม่เหมาะสำหรับครอบครัว ห้องไม่เก็บเสียง. เสียงดังมากๆๆๆ, Hotel, neg
ห้องพักเก่า ไม่สะอาดที่นอนมีฝุ่น ห้องมียุง แอร์ไม่เย็นเลย ดีอย่างเดียวคืออาหารเช้า ในรูปตัวอย่างกับของจริงไม่ตรงปก หนเดียวพอ, Hotel, neg
กลิ่นห้องพักเหม็นอับมาก เหมือนไม่ค่อยได้ทำความสะอาด เตียงแข็งมาก ไม่มีการบริการการปรับเปลี่ยนที่ดี, Hotel, neg
ไม่ได้ดีอย่างที่คิด เหมือนมานอนรีสอร์ตธรรมดาในป่า น้ำที่ใช้อาบดำ ในห้องมีแมลง และฝุ่นไม่ค่อยสะอาด, Hotel, neg
คุณภาพห้องพักคือแย่มากเทียบกับราคาคือไม่คุ้มค่าที่จะไปมากๆ, Hotel, neg
เสียงดังมากจากผับข้างๆ โรงแรม อีกทั้งมีการบริการที่ยอดแย่ พนักงานไม่ใส่ใจลูกค้า โทรศัพท์ไม่มีคนรับ, Hotel, neg
ห้องเหม็นกลิ่นบุหรี่ เหม็นอับมาก เวียนหัวมาก, Hotel, neg
ที่พีก ใกล้แหล่งบันเทิงกลางคืน เสียงดีงมากไม่ได้นอน review สวยเกินจริง, Hotel, neg
เจอหมอนไม่สะอาด ม่านห้องน้ำเป็นรา พื้นพรมสกปรกมีเศษขยะบนพื้น ไม่มีชากาแฟให้, Hotel, neg
บริการแย่มาก ไม่สมกับมาตราฐานญี่ปุ่น, Hotel, neg
ทำเลไม่เหมาะสม เสียงดัง พื้นชั้น1 สกปรกมาก, Hotel, neg
พื้นเป็นพรม เหม็นบุหรี่แทบนอนไม่ได้ พนักงานแจ้งว่าไม่มีห้องปลอดบุหรี่ค่ะ ผ้าเช็ดตัวเก่า มาก มีรอยเลือดประจำเดือน เยอะมาก ควรจะทิ้ง, Hotel, neg
แม่บ้านน่าจะด่าเป็นอย่างเดียว แค่ถามข้อมูลก็ด่าเป็นชุดแล้ว, Hotel, neg
เสียงดัง ถ้าคนชอบเงียบๆ เพราะอยู่ใกล้ร้านเหล้า ผ้าเช็ดตัวเก่ามาก ควรเปลี่ยน หมอนแบนมาก ที่จอดรถน้อย, Hotel, neg
จองห้องดีลักท์เหมือนได้ห้องธรรมดา บริการไม่ค่อยดีสิ่งอำนวยค่อยข้างพอใช้ เสียงค่อยข้างดังไวฟายก็ที่ให้มาก็ใช้ไม่ได้, Hotel, neg
เสียงรบกวนในตอนกลางคืนดังมากๆ ที่จอดรถน้อย อาหารเย็นไม่อร่อย ปริมาณไม่คุ้มค่า, Hotel, neg
หมอนแบนมาก ขอหมอนเพิ่ม คิดใบละ 50 บาท ที่พักติดสถานบันเทิง เสียงดังมาก ไม่ได้พักผ่อน ถ้าจองจากอโกด้า ไม่ได้ชุดน้ำชาบ่าย ชุดยูกะตะเสียเงิน, Hotel, neg
ไม่มีหัวใจบริการให้แก่คนไทย สงสัยชอบพวกญี่ปุ่นมากกว่า แล้วไม่รู้จะเปิดรับคนไทยเข้าพักทำไม, Hotel, neg
เสียงดังเวลากลางคืน ผ้าขนหนูมีกลิ่นอับ พนักงานไม่ค่อยใส่ใจลูกค้า, Hotel, neg
ไม่เหมาะแก่การพักผ่อน รอบๆโรงแรมเสียงดังมาก ห้องไม่สะอาด และ เหม็นอับ, Hotel, neg
ห้องเล็กมาก และ ก็ดูเก่า ไม่เหมือนในภาพ ราคา ก็แพงเกินความเหมาะสม ราคา 3600 สามารถไป พักโรงแรมที่ดีกว่านี้อีกมาก เลือกพลาดเองที่มาเลือกโรงแรมนี้ ตอนกลางคืน ก็มีพนักงานผู้ชาย แอบเอาคีย์การ์ดมาเปิดห้องงด้วย ท่าทางไม่น่าไว้วางใจ พอถามก็บอกว่ามาทำความสะอาด มีที่ไหน ทำความสะอาดตอนกลางคืน --" รู้สึกไม่ปลอดภัยเลย ส่วนพนักงาน ต้อนรับกะ ยามตรงที่จอดรถ ดี, Hotel, neg
เดินทางสะดวก คุ้มค่าราคา, Hotel, neg
สรุปโดยรวมไม่คุ้มค่า เทียบกับราคา, Hotel, neg
ความสะอาดของห้องพักไม่ดี ห้องค่อนข้างสกปรก มีฝุ่น ผ้าเช็ดตัวไม่พอ พนักงงานบริการช้ามาก มีน้อย ต้องปรับปรุง, Hotel, neg
ห้องพักเก่าและเหม็นอับไม่ได้ มีการดู แลความสะอาด, Hotel, neg
ได้รับบริการแบบแย่ๆ ขาดความใส่ใจ ราคาแพงเมื่อเทียบกับห้องพักเก่า, Hotel, neg
พนักงานบริการไม่ดี ห้องเก่า จะไม่มาพักอีก, Hotel, neg
พนักงานบริการช้า ไม่เต็มใจในการให้การบริการลูกค้า ในการสอบถามเรื่องการเช็คอิน การขอออกบิล, Hotel, neg
ดีมาก พนักงานบริการดี ที่ตั้งโรงแรมค่อนข้างเดินทางสะดวก, Hotel, pos
ดินทางสะดวก ติดบีทีเอส พนักงานบริการดี ห้องพักสะอาด, Hotel, pos
ไม่คุ้มค่ากับราคาที่จ่าย, Hotel, neg
พนักงานไม่มีการบริหาร จัดการที่ดี ไม่มีความสะดวก ให้ลูกค้านั่งรอเช็คอินมากกว่า 1 ชั่วโมง #ไม่ประทับใจ, Hotel, neg
การบริการแย่ มีปัญหากับการบุ๊ค จองห้องของอโกด้า พนักงาน และผู้จัดการฝ่ายต้อนรับ ไม่สนใจไยดี บอกอย่างเดียวให้ออกไปติดต่ออโกด้าเอง, Hotel, neg
